,Filename,Code,Year,so_chu_de,so_chu_de_phan_biet,so_tu_de,so_tu_de_phan_biet,so_tu_muon,so_tu_muon_phan_biet,so_tu_co_1_nghia,so_tu_co_1_pos,so_tu_co_2_nghia,so_tu_co_2_pos,so_tu_co_3_nghia,so_tu_co_3_pos,so_tu_co_nhieu_pos,so_tu_da_nghia,tong_so_tu_loai_cua_tat_ca_cac_t,tong_tan_suat_chu,tong_tan_suat_chu_phan_biet,tong_tan_suat_tu,tong_tan_suat_tu_phan_biet,tong_thu_hang_chu,tong_thu_hang_chu_phan_biet,tong_thu_hang_tu,tong_thu_hang_tu_phan_biet,so_tu_dia_phuong,so_tu_dia_phuong_phan_biet,so_tu_han_viet,so_tu_han_viet_1_chu,so_tu_han_viet_2_chu,so_tu_han_viet_3_chu,so_tu_han_viet_nhieu_chu,so_tu_han_viet_phan_biet,so_cau,so_cau_duoi_10_tu,so_cau_duoi_13_chu,so_cau_tu_10_tu,so_cau_tu_13_chu,so_chu,so_chu_phan_biet,so_ky_tu,so_tu,so_tu_1_chu,so_tu_2_chu,so_tu_3_chu,so_tu_nhieu_chu,so_tu_phan_biet,CodeYear,dup,FirmName,StockExchange,GroupInd,TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Ind_Name,Name_Person,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,IndName,INDB,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
176,,CIA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIA2018,0.0,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,HNX,Của hàng hàng hóa tổng hợp,381853626706,95993007785,285860618921,46438633598,37368285952,122731782,297267470219,294859986089,HNX,710,Của hàng hàng hóa tổng hợp,Trương Minh Hoàng,1,CTHĐQT,1986,2,1,307750,0,2015,1,0,0,0,,0,0,710,Của hàng hàng hóa tổng hợp,5,5,270341,2.435508453977673,0,0,0,0,0,0,6378836,57.47000000000001,0
177,CIA_Baocaothuongnien_2019.txt,CIA,2019,9284.0,434.0,3038.0,237.0,3847.0,729.0,2275.0,3336.0,1424.0,2299.0,874.0,1408.0,4551.0,5180.0,20147.0,67039.6710996637,14654.9110552643,71572.1622573449,19654.5189152719,16978234.0,5331965.0,25340374.6622574,7490374.51891527,328.0,62.0,3582.0,1094.0,2445.0,43.0,2488.0,693.0,2003.0,1664.0,1647.0,339.0,356.0,16539.0,2540.0,58335.0,12121.0,7987.0,3910.0,168.0,4134.0,2928.0,CIA2019,0.0,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,HNX,Của hàng hàng hóa tổng hợp,469295810751,76171104710,393124706041,36469077496,29108195846,-463252520,294856362884,292590814346,HNX,710,Của hàng hàng hóa tổng hợp,Trương Minh Hoàng,1,CTHĐQT,1986,2,1,548626,0,2015,1,0,0,0,,0,0,710,Của hàng hàng hóa tổng hợp,5,5,527900,2.678346685607238,0,0,0,0,0,0,11805908,59.89,0
178,CIG_Baocaothuongnien_2018.txt,CIG,2018,4669.0,371.0,1343.0,183.0,1774.0,433.0,1042.0,1567.0,724.0,1085.0,404.0,604.0,2013.0,2354.0,8343.0,27354.6231842062,5062.730495394,29306.417802216,7714.631195202,5611849.0,1487737.0,10700373.9178022,2938934.6311952,48.0,21.0,1710.0,396.0,1298.0,16.0,1314.0,424.0,1061.0,936.0,918.0,125.0,143.0,7328.0,1072.0,25547.0,4948.0,2771.0,2015.0,123.0,2177.0,1191.0,CIG2018,0.0,CTCP COMA 18,HoSE,Phát triển bất động sản,851776146937,515799864668,335976282269,6027879119,2320453472,7538199546,24390973052,24390973052,HOSE,405,Phát triển bất động sản,Bùi Quang Đông,1,CTHĐQT,1975,2,1,140038,0,,1,0,0,0,,0,0,405,Phát triển bất động sản,5,6,3890,.0123335654305316,0,0,0,0,0,0,18100000,57.39,0
179,,CIG,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG2019,0.0,CTCP COMA 18,HoSE,Phát triển bất động sản,897151888608,565828068045,331323820564,1208542024,125278920,7106916090,2589213336,2589213336,HOSE,405,Phát triển bất động sản,Bùi Quang Đông,1,CTHĐQT/TGĐ,1975,2,1,140038,1,,1,1,0,0,0,1,0,405,Phát triển bất động sản,5,6,4000,.0126823294915492,0,0,0,0,0,0,18100000,57.4,0
180,,CII,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CII2018,0.0,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HoSE,Xây dựng công nghiệp nặng và dân dụng,22271753853050,14558270454602,7713483398448,392159665565,215127700326,224420443284,2702951883818,2686002677838,HOSE,402,Xây dựng công nghiệp nặng và dân dụng,Lê Vũ Hoàng,1,CTHĐQT,1946,1,1,2493186,0,2001,1,0,0,0,,0,0,402,Xây dựng công nghiệp nặng và dân dụng,7,9,156656268,55.9400218122718,0,0,69407399,28.56,0,0,24049215,9.710000000000001,9.710000000000001
181,,CII,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CII2019,0.0,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HoSE,Xây dựng công nghiệp nặng và dân dụng,29249127937117,20543022273089,8706105664028,522811636353,521851647102,491998575149,1848725839113,1813161121691,HOSE,402,Xây dựng công nghiệp nặng và dân dụng,Lê Vũ Hoàng,1,CTHĐQT,1946,1,1,2493186,0,2001,1,0,0,0,,0,0,402,Xây dựng công nghiệp nặng và dân dụng,7,9,144319365,50.96595926508007,0,0,70843049,25.02,0,0,24049215,8.49,8.49
182,,CJC,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJC2018,0.0,CTCP Cơ điện Miền Trung,HNX,"Sản xuất thiết bị, máy móc",256551316026,184915048818,71636267208,202137180,108910406,57881704,142858668880,142858668880,HNX,516,"Sản xuất thiết bị, máy móc",Nguyễn Hữu Thắng,1,CTHĐQT,1976,1,1,2040000,0,2016,1,0,0,0,,0,0,516,"Sản xuất thiết bị, máy móc",4,5,13200,.33,0,0,0,0,3671940,91.8,0,0,0
183,,CJC,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJC2019,0.0,CTCP Cơ điện Miền Trung,HNX,"Sản xuất thiết bị, máy móc",246993648002,206740271814,40253376188,-31273980614,-31273980614,-95263452,294987561037,294987561037,HNX,516,"Sản xuất thiết bị, máy móc",Nguyễn Hữu Thắng,1,CTHĐQT,1976,1,1,2040000,0,2016,1,0,0,0,,0,0,516,"Sản xuất thiết bị, máy móc",4,5,13000,.325,0,0,0,0,3671940,91.8,0,0,0
184,,CKG,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CKG2018,0.0,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,HoSE,Phát triển bất động sản,3314974550968,2705993072209,608981478759,110850979736,89464097369,2111118642,858969696899,850280321851,,,,,,,,,,,,,,,,,,,,405,Phát triển bất động sản,,,,,0,0,0,0,0,0,6631610,13.26,0
185,CKG_Baocaothuongnien_2019.txt,CKG,2019,12672.0,429.0,3614.0,240.0,4704.0,694.0,2745.0,4081.0,1825.0,2913.0,987.0,1650.0,5327.0,6257.0,21592.0,70305.3040491438,11603.7993856572,75167.2463495044,16565.823746541,14066301.0,3940976.0,27367289.7463496,6511293.32374654,150.0,39.0,4546.0,1145.0,3278.0,121.0,3401.0,676.0,2618.0,2283.0,2162.0,335.0,456.0,19060.0,2050.0,67209.0,12789.0,7103.0,5226.0,340.0,5686.0,2452.0,CKG2019,0.0,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,HoSE,Phát triển bất động sản,4490306154729,3860845036175,629461118554,124460034539,101017273166,9555675821,1058621923909,1049989740112,HOSE,405,Phát triển bất động sản,Trần Thọ Thắng,1,CTHĐQT/TGĐ,1965,1,1,4150388,1,1994,1,1,0,0,0,1,0,405,Phát triển bất động sản,8,9,,,0,0,0,0,6921816,13.84,3450660,6.9,0
