const,SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CHAIR,Duality,CEO1,BSIZE
1.0,29.649805925901433,0.07118496770405168,0.028176943806555037,0.02648032782588182,0.6041728371121916,10.0,0.0,0.0,0.0,0.0,5.0
1.0,26.161166869109685,0.045310260729689765,0.04170843794328554,0.04394325532840963,0.07949235280202123,1.0,0.0,0.0,1.0,0.0,5.0
1.0,26.150451239554314,0.03930109101057162,0.03652109005397612,0.038445138190466493,0.0707339647440969,1.0,0.0,0.0,1.0,0.0,5.0
1.0,26.68980480682987,0.18502186654488176,0.09423451856835652,0.07832426539711891,0.4906844238029696,0.0,0.0,0.0,0.0,0.0,6.0
1.0,27.10124200424547,0.08256435621585981,0.05232280383873899,0.056266376943478386,0.3662785463748546,27.0,0.0,0.0,0.0,0.0,6.0
1.0,28.010272288154002,0.5700832317576021,0.28512534706852843,0.29920107761623854,1.59935616272987,3.0,0.0,1.0,1.0,1.0,6.0
1.0,28.181152064652757,0.014822615527513454,0.006165291369530587,0.004904123587056281,0.9903229168217481,0.0,0.0,0.0,1.0,0.0,6.0
1.0,27.036547543410382,0.04111854558171088,0.018749307123645795,0.019326786788286667,0.11949096284535207,8.0,28.0,0.0,0.0,0.0,5.0
1.0,27.37233069462727,0.10002547329003642,0.02326018672670005,0.02364677884924405,0.19077174239102845,8.0,28.0,0.0,0.0,0.0,5.0
1.0,26.249192767312255,0.019867179369392057,0.013581502235196692,0.003614988956306582,0.07171095853243527,3.0,13.0,0.0,0.0,0.0,5.0
1.0,26.224911727435597,0.019034876167970203,0.010881650806541444,0.003963536001226618,0.03851683170263528,3.0,13.0,0.0,0.0,0.0,5.0
1.0,25.177075781003246,0.051004528667659366,0.042966693149463005,0.06894146561154205,0.15540765264675313,4.0,40.0,0.0,0.0,0.0,6.0
1.0,25.250449190647682,0.04219010563854437,0.03707107276770232,0.045079853238866395,0.17612028539953895,5.0,40.0,0.0,0.0,0.0,5.0
1.0,27.202828687776876,4.676868104575671,2.553418227941321,1.5179616283734247,0.9487353611173454,1.0,0.0,1.0,1.0,1.0,5.0
