count,mean,std,min,25%,50%,75%,max
444.0,27.99393140697291,1.6305981680477932,23.72866185692584,26.907349375379845,27.879331746747276,28.94539784609472,33.293891314211436
444.0,0.03533906060078419,1.9480892381176116,-40.82059850056266,0.05871153475685005,0.10689852353839266,0.18306192959799758,1.5868059237546868
444.0,0.06520165016199504,0.07726501206703645,-0.46726850729852165,0.02591325137983371,0.0522739864572693,0.09274710144273544,0.6004784825920478
444.0,0.08977348701713743,0.1708553852912286,-1.3914463914463915,0.026646017875707795,0.0655437428389348,0.12724151827482644,1.0493851808158265
444.0,0.4761124153683968,0.2091486147247114,0.01924610026814323,0.33163329483627413,0.5011865127789187,0.6333853138297199,1.2944715795753248
459.0,13.10893246187364,16.24408211871967,0.0,1.0,6.0,21.5,81.0
464.0,9.131465517241379,20.675784847427767,0.0,0.0,0.0,0.0,97.0
464.0,0.11422413793103449,0.3184266148564395,0.0,0.0,0.0,0.0,1.0
464.0,0.2435344827586207,0.42967817443010686,0.0,0.0,0.0,0.0,1.0
457.0,0.11159737417943107,0.31521551356665484,0.0,0.0,0.0,0.0,1.0
464.0,5.579741379310345,1.3021410919142584,3.0,5.0,5.0,6.0,11.0
