TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
4.49031E+12,3.86085E+12,6.29461E+11,1.2446E+11,1.01017E+11,9555675821,1.05862E+12,1.04999E+12,HOSE,405,1,CTHĐQT/TGĐ,1965,1,1,4150388,1,1994,1,1,0,0,0,1,0,405,9,,,0,0,0,0,6921816,13.84,3450660,6.9,0
2.07632E+11,1.20464E+11,87168109610,5835878992,4812185168,-345481790,2.68132E+11,2.68089E+11,HNX,601,1,CTHĐQT,1962,1,1,82020,0,2005,1,0,0,0,,0,0,601,5,502430,12.40567901,0,0,408600,10.18,460000,11.47,1984500,49.46,49.46
1.88497E+11,1.00479E+11,88017339700,6539326188,5332619090,138157553,3.92203E+11,3.92203E+11,HNX,601,1,CTHĐQT,1962,1,1,82020,0,2005,1,0,0,0,,0,0,601,5,523930,12.93654321,0,0,468100,11.56,459800,11.35,1984500,49,49
1.01359E+12,3.7685E+11,6.36736E+11,1.8712E+11,1.48538E+11,380043182,2.07021E+12,2.07021E+12,HOSE,502,1,CTHĐQT,1976,2,1,0,0,,1,0,0,0,,0,0,502,5,1192881,4.55166354,0,0,0,0,0,0,15038620,57.38,57.38
1.02437E+12,3.31409E+11,6.92963E+11,1.77378E+11,1.40547E+11,2562251834,1.92871E+12,1.92871E+12,HOSE,502,1,CTHĐQT,1976,2,1,0,0,,1,0,0,0,,0,0,502,5,1128221,4.304941055,0,0,0,0,0,0,15038620,57.38,57.38
,,,,,,,,,401,1,CTHĐQT/TGĐ,1972,1,1,33690,1,2001,1,1,0,0,0,1,0,401,3,1948350,9.212056738,0,0,0,0,2500000,11.82,11590000,54.8,0
,,,,,,,,,401,1,CTHĐQT/TGĐ,1972,1,1,33690,1,2001,1,1,0,0,0,1,0,401,3,41100,0.194326241,0,0,0,0,0,0,11590000,54.8,0
3.47579E+11,1.83807E+11,1.63772E+11,39132131116,31192503259,474984727,7.20637E+11,7.20637E+11,HNX,513,1,CTHĐQT,1962,1,1,0,0,,1,0,0,0,,0,0,513,5,17800,0.178,0,0,0,0,0,0,5138300,51.38,0
3.09265E+11,1.34515E+11,1.7475E+11,47971632306,38288425845,90611172,6.89685E+11,6.89685E+11,HNX,513,1,CTHĐQT,1962,1,1,0,0,,1,0,0,0,,0,0,513,5,14700,0.147,0,0,0,0,0,0,5138300,51.38,0
7.03694E+11,79738888752,6.23955E+11,1.14861E+11,91842072099,-413072199,3.78436E+11,3.78436E+11,HOSE,808,1,CTHĐQT,0,1,1,0,0,,1,0,0,0,,0,0,808,6,2458611,7.231208824,0,0,0,0,0,0,16214920,47.7,47.7
6.98454E+11,66755050274,6.31699E+11,1.12934E+11,90267069555,212731566,3.50194E+11,3.50194E+11,HOSE,808,1,CTHĐQT,0,2,1,0,0,,1,0,0,0,,0,0,808,6,2470701,7.266767647,0,0,0,0,0,0,16214920,47.7,47.7
9.15338E+11,7.69788E+11,1.4555E+11,20030583607,13591328360,-332828955,1.97712E+12,1.97712E+12,HNX,601,1,CTHĐQT,1962,0,1,0,0,2018,1,0,0,0,,0,0,601,5,0,0,0,0,0,0,0,0,6095348,55.41,55.41
1.03825E+12,8.66906E+11,1.71339E+11,48819450554,37542252364,11301788389,5.41497E+12,5.41497E+12,HNX,601,1,CTHĐQT,1962,0,1,0,0,2018,1,0,0,0,,0,0,601,5,7600,0.069090909,0,0,0,0,0,0,6095348,55.41,55.41
4.2323E+11,2.12501E+11,2.10729E+11,16796951509,13553466600,1663270595,1.01657E+12,1.01106E+12,HOSE,303,1,CTHĐQT,1960,0,1,0,0,,1,0,0,0,,0,0,303,8,713950,5.491923077,0,0,0,0,2156700,16.59,6630400,51,51
4.18879E+11,2.02037E+11,2.16842E+11,30289507539,22050158222,-1194352611,1.06793E+12,1.06709E+12,HOSE,303,1,CTHĐQT,1960,0,1,0,0,,1,0,0,0,,0,0,303,7,630340,4.848769231,0,0,0,0,2816790,21.67,6630400,51,51
1.21173E+11,63233995678,57938797284,-1388121826,-1388121826,0,20038945451,20038945451,HNX,601,1,CTHĐQT/TGĐ,1964,1,1,1427650,1,2001,1,1,0,0,0,1,0,601,5,32700,0.716940178,0,0,0,0,2825870,61.94,382500,8.38,0
1.13436E+11,55463519437,57972243104,33445820,33445820,-256138,51150512725,51150512725,HNX,601,1,CTHĐQT/TGĐ,1964,1,1,1427650,1,2001,1,1,0,0,0,1,0,601,5,60250,1.32096776,0,0,0,0,2826470,61.95,382500,8.38,0
3.70892E+12,2.34636E+12,1.36256E+12,2.61852E+11,2.14252E+11,14656207064,5.18693E+12,5.18572E+12,HOSE,909,1,CTHĐQT/TGĐ,1963,1,1,725888,1,1993,1,1,0,0,0,1,0,909,9,6644924,9.221989638,0,0,4396555,6.1,0,0,35223460,48.89,5.04
4.64939E+12,2.39698E+12,2.2524E+12,2.58953E+11,2.0857E+11,11878689394,4.86415E+12,4.85581E+12,HOSE,909,1,CTHĐQT/TGĐ,1963,1,1,755562,1,1993,1,1,0,0,0,1,0,909,10,37504351,37.50440126,0,0,29999959,29.99,0,0,23554103,23.55,0
6.21159E+11,3.74681E+11,2.46478E+11,1443191756,-331387947,-4422392626,2.81434E+11,2.81434E+11,HNX,402,1,CTHĐQT,1977,1,1,4139650,0,2003,1,0,0,0,,0,0,402,4,356740,2.074069767,0,0,0,0,6701884,38.97,0,0,0
6.26341E+11,3.88092E+11,2.38249E+11,5776263625,4116868712,959352087,3.21844E+11,3.21822E+11,HNX,402,1,CTHĐQT/Thành viên Kiểm toán nội bộ,1977,1,1,4139650,0,2003,1,0,0,0,,0,0,402,5,237440,1.380465116,0,0,0,0,7327904,42.61,0,0,0
7.11252E+11,5.31366E+11,1.79886E+11,30905952071,22316428219,29043526896,4.65685E+12,4.65677E+12,HOSE,710,1,CTHĐQT,1964,1,1,0,0,2009,1,0,0,0,,0,1,710,5,24462,0.202099949,0,0,0,0,1739571,14.37,7369449,60.89,0
7.33419E+11,5.51427E+11,1.81992E+11,26223691484,18350189069,27878787094,4.72881E+12,4.72878E+12,HOSE,710,1,CTHĐQT,1964,1,1,0,0,2009,1,0,0,0,,0,1,710,5,24362,0.20127377,0,0,0,0,0,0,9109020,75.26,0
8.76303E+11,7.37885E+11,1.38418E+11,93752089051,80768352431,-2122163604,1.06284E+12,1.0622E+12,HOSE,501,1,CTHĐQT,1971,2,1,0,0,2012,1,0,0,0,,0,0,501,5,65467,0.49516558,0,0,0,0,3568388,26.99,2542833,19.23,0
1.4238E+12,1.07933E+12,3.44468E+11,92438859364,77750042762,21131488014,9.58169E+11,9.51132E+11,HOSE,501,1,CTHĐQT,1971,2,1,0,0,2012,1,0,0,0,,0,0,501,6,253557,1.917801319,0,0,0,0,4230898,32,2542833,19.23,0
8.35454E+11,2.98174E+11,5.3728E+11,1.45217E+11,1.14304E+11,6643567336,1.81923E+12,1.81923E+12,HOSE,302,0,CTHĐQT,1973,1,1,,0,2011,1,0,0,1,,0,0,302,5,6051211,22.41189259,0,0,2600940,9.63,0,0,15120000,56,0
8.38644E+11,2.95793E+11,5.42852E+11,1.0761E+11,84347276930,2729496181,2.13039E+12,2.13039E+12,HOSE,302,0,CTHĐQT,1973,1,1,0,0,2011,1,0,0,1,,0,0,302,5,5571403,20.63482593,0,0,2600940,9.63,0,0,15120000,56,0
5.69097E+11,65760194680,5.03336E+11,1.12525E+11,90270107045,935026596,4.24228E+12,4.24202E+12,HOSE,707,1,CTHĐQT,1966,1,1,,0,2012,1,0,0,0,,0,0,707,5,62759,0.444449071,0,0,0,0,0,0,11923773,84.44,0
5.15312E+11,70637890561,4.44674E+11,63603654162,51029879410,51149861,4.20704E+12,4.20361E+12,HOSE,707,1,CTHĐQT,1966,1,1,3500826,0,2012,1,0,0,0,,0,0,707,5,63029,0.446361168,0,0,0,0,0,0,11923773,84.44,0
1.60172E+11,73701699200,86470415841,16659556713,13293322262,201279142,3.22218E+11,3.22218E+11,HNX,511,1,CTHĐQT/TGĐ,1956,1,1,93262,1,1992,1,1,0,0,0,1,0,511,5,833370,19.36696064,0,0,259200,6.35,577087,14.13,875220,21.44,0
