SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CHAIR,Duality,CEO1,BSIZE
25.45450463817766,0.000576928,0.000294843,0.000653871,0.488941072,1.0,0.0,0.0,1.0,0.0,5.0
27.154852924754934,-0.001344493,-0.000533499,-0.001177498,0.603196605,2.0,0.0,0.0,0.0,0.0,4.0
27.498977758487463,0.583510471,0.092169435,0.076038743,0.84204322,0.0,0.0,0.0,0.0,0.0,5.0
27.984350469616185,0.225710495,0.054607419,0.081744745,0.75806293,2.0,0.0,0.0,0.0,0.0,6.0
27.45124112661399,0.212745682,0.136816629,0.062830978,0.356900559,22.0,0.0,1.0,0.0,0.0,5.0
27.455052138706368,0.155378035,0.100575783,0.039592411,0.352703889,21.0,0.0,1.0,0.0,0.0,5.0
25.799514074781502,0.153732605,0.082994046,0.041255679,0.460140968,19.0,0.0,0.0,1.0,0.0,5.0
28.47616379844456,0.214900889,0.137455493,0.189688711,0.360375551,26.0,0.0,0.0,0.0,0.0,6.0
28.61742355982076,0.206923531,0.146460842,0.169840817,0.292198227,28.0,0.0,0.0,0.0,0.0,5.0
28.984099896937007,0.010996844,0.003401265,0.003381462,0.690705344,3.0,51.0,0.0,0.0,0.0,5.0
28.970229110591,0.042266144,0.013744621,0.012297166,0.674807784,2.0,51.0,0.0,0.0,0.0,4.0
27.751281081459823,0.301816084,0.22544534,0.160107177,0.253040016,20.0,65.0,0.0,0.0,0.0,5.0
26.967646307035583,0.12980645,0.056189906,0.049699564,0.567125468,6.0,0.0,0.0,0.0,0.0,5.0
30.453774057890904,0.189690662,0.089781907,0.052883838,0.526690681,45.0,0.0,0.0,0.0,0.0,7.0
30.415958281349194,0.083938287,0.043887016,0.029954789,0.477153246,48.0,0.0,0.0,0.0,0.0,7.0
29.119483903405822,0.087388019,0.028998167,0.140083175,0.6681677,24.0,0.0,0.0,0.0,0.0,7.0
29.141001058357435,0.057658944,0.018554358,0.105431442,0.678205026,24.0,0.0,0.0,0.0,0.0,7.0
27.03130598896115,0.148924567,0.025504645,0.07138679,0.828742295,0.0,20.0,1.0,1.0,1.0,7.0
25.440308291037805,0.160089461,0.119495507,0.077719926,0.253571401,31.0,45.0,1.0,0.0,0.0,5.0
27.953039395579612,0.087209016,0.039103913,0.034693302,0.551608438,4.0,0.0,0.0,1.0,0.0,5.0
28.10981722776196,0.07907585,0.032933027,0.032503905,0.583524251,4.0,0.0,0.0,1.0,0.0,5.0
27.943939555548404,0.097734681,0.037672463,0.032464096,0.614542822,0.0,0.0,0.0,0.0,0.0,8.0
28.085498585740666,0.105662151,0.039528919,0.024975988,0.625893928,0.0,0.0,0.0,0.0,0.0,5.0
27.991725929026156,0.183017199,0.113644603,0.116347375,0.379050295,0.0,13.0,0.0,1.0,0.0,7.0
28.1137867137265,0.152520944,0.087764648,0.1127238,0.42457499,0.0,13.0,0.0,0.0,1.0,7.0
27.14877485050419,0.088320775,0.034304902,0.027282919,0.611589015,4.0,0.0,0.0,0.0,0.0,7.0
27.294126390071327,0.107790939,0.035910586,0.032608636,0.666849677,8.0,0.0,0.0,0.0,0.0,7.0
24.71858328620044,-0.584389854,-0.196756128,-0.125778394,0.66331358,0.0,0.0,0.0,0.0,0.0,5.0
25.796544106768643,0.277094285,0.043915626,0.036826844,0.841512364,0.0,0.0,0.0,0.0,0.0,3.0
26.578274719912624,0.095662414,0.039580146,0.043043316,0.586251855,0.0,0.0,0.0,0.0,0.0,5.0
27.21430343441733,0.075897819,0.038886051,0.063301536,0.487651072,0.0,0.0,0.0,0.0,0.0,5.0
28.430031685684224,0.142893674,0.049261471,0.01844672,0.655257406,11.0,0.0,0.0,1.0,0.0,5.0
26.761749933992157,0.173127353,0.159554477,0.224612541,0.078398972,10.0,0.0,0.0,0.0,0.0,5.0
26.779098578187142,0.175498546,0.159238579,0.204901025,0.092648453,10.0,0.0,0.0,0.0,0.0,5.0
28.22558476510969,0.159289282,0.07400565,0.144731475,0.535399285,33.0,0.0,0.0,1.0,0.0,6.0
28.379262358798066,0.162372803,0.08592709,0.126994384,0.470804626,37.0,0.0,0.0,1.0,0.0,6.0
29.067523682940344,0.207072252,0.15480152,0.167714373,0.252427508,49.0,43.0,0.0,0.0,0.0,7.0
29.053362891379784,0.186899676,0.152228213,0.161997305,0.18550769,54.0,43.0,1.0,0.0,0.0,7.0
25.994427810749077,0.104093174,0.084860414,0.065422703,0.184766346,7.0,0.0,0.0,0.0,0.0,5.0
26.070744727272793,0.075248114,0.057533405,0.043270858,0.235417072,6.0,0.0,0.0,0.0,0.0,5.0
29.734817408251786,0.09273666,0.045359591,0.175741348,0.510877455,36.0,0.0,0.0,0.0,0.0,7.0
29.79575234500737,0.004121916,0.001647463,0.004925086,0.600314958,8.0,0.0,0.0,0.0,0.0,6.0
26.079970029194175,0.099645226,0.040698192,0.0242486,0.591571749,6.0,0.0,0.0,0.0,1.0,3.0
29.528802881789087,0.007008006,0.001835727,0.005615447,0.738052909,2.0,0.0,0.0,0.0,0.0,5.0
29.657896184651804,0.013092383,0.003569977,0.009680686,0.727324108,1.0,0.0,0.0,0.0,0.0,7.0
24.436356627782896,0.055630839,0.052516845,0.032784947,0.055976041,1.0,0.0,0.0,0.0,0.0,3.0
25.076668754391207,0.137350157,0.074837084,0.072007952,0.455136527,1.0,0.0,0.0,0.0,0.0,3.0
30.04105154982121,0.086308072,0.063989115,0.076633922,0.258592817,21.0,60.0,0.0,0.0,0.0,5.0
28.928372235208982,0.096111979,0.064225227,0.228181156,0.331763941,19.0,0.0,0.0,0.0,0.0,5.0
28.94937383853672,0.083922629,0.051150843,0.185042785,0.390499992,15.0,0.0,0.0,0.0,0.0,5.0
28.254292892827415,0.082946096,0.04824787,0.075783021,0.418320447,18.0,0.0,0.0,1.0,0.0,6.0
28.6722337851984,0.092416484,0.049758707,0.039691645,0.461581911,24.0,51.0,0.0,0.0,0.0,7.0
28.415739677505215,0.085773569,0.030237845,0.407460049,0.647470789,0.0,0.0,0.0,1.0,0.0,7.0
28.482090426875473,0.067482945,0.023350629,0.149259649,0.653976048,2.0,0.0,0.0,1.0,0.0,6.0
25.642063581339535,0.405120384,0.378401114,0.613927221,0.065953114,1.0,0.0,0.0,0.0,0.0,5.0
25.63678799355316,0.511102082,0.409052887,0.618928979,0.199663222,1.0,0.0,0.0,0.0,0.0,5.0
30.250509648050166,0.277910145,0.125488211,0.370865732,0.548458339,48.0,0.0,0.0,1.0,0.0,5.0
30.62076046774613,0.204405808,0.094877895,0.324450683,0.535836624,46.0,0.0,0.0,1.0,0.0,5.0
26.687094506806964,0.092349795,0.087145555,0.367283916,0.056352745,38.0,0.0,0.0,0.0,0.0,4.0
26.793294306556216,0.101208403,0.095370874,0.348089089,0.057677237,39.0,0.0,0.0,0.0,0.0,4.0
26.82383812010413,0.156162228,0.091787179,0.068347937,0.412231878,23.0,40.0,0.0,0.0,0.0,5.0
26.87191360393765,0.160284703,0.096912382,0.069512459,0.39537348,24.0,40.0,0.0,0.0,0.0,5.0
27.68594481242445,0.011331593,0.008502653,0.021787365,0.249651667,23.0,0.0,0.0,1.0,0.0,7.0
27.976990964250835,0.037289951,0.021729412,0.035108466,0.417282221,20.0,0.0,0.0,1.0,0.0,7.0
28.061263385898222,0.076596828,0.046752644,0.0715876,0.389629495,64.0,0.0,0.0,1.0,0.0,7.0
27.467313244625377,0.025180223,0.021498588,0.031186713,0.146211381,2.0,0.0,0.0,1.0,0.0,5.0
29.18351823789984,0.12857911,0.052654211,0.087399273,0.590491717,35.0,0.0,0.0,0.0,0.0,9.0
29.362227002483497,0.086146435,0.037461266,0.068439986,0.56514433,49.0,0.0,0.0,0.0,0.0,9.0
27.581670144536137,0.107619237,0.069082757,0.147509544,0.358082759,0.0,0.0,0.0,0.0,0.0,5.0
26.83299552570123,0.291655903,0.206266529,0.283242384,0.292774373,0.0,0.0,0.0,1.0,0.0,5.0
30.884850871860273,0.052117547,0.018155454,0.040187758,0.651643729,7.0,0.0,0.0,0.0,1.0,4.0
31.097153814994222,0.059762813,0.02173906,0.044099818,0.636244366,3.0,0.0,0.0,0.0,1.0,5.0
31.02408887490869,0.218883249,0.108679945,0.139315485,0.503479842,49.0,6.0,0.0,0.0,0.0,7.0
31.13940334813722,0.232849583,0.117137407,0.141130353,0.496939588,49.0,6.0,0.0,0.0,0.0,7.0
29.2734430258809,0.300100106,0.067292803,0.022731088,0.77576548,49.0,0.0,1.0,1.0,1.0,5.0
31.76801639953019,0.249825571,0.186995324,0.154852106,0.251496461,3.0,96.0,0.0,0.0,0.0,6.0
31.761035221563024,0.243592095,0.194370107,0.16113128,0.202067264,4.0,96.0,0.0,0.0,0.0,6.0
30.478630340268495,0.161140999,0.074419737,0.093690826,0.538168904,12.0,0.0,0.0,1.0,0.0,6.0
27.641634593188158,0.316342483,0.119127905,0.059050959,0.623424065,12.0,0.0,0.0,0.0,0.0,7.0
27.659598854560254,0.216060402,0.101506331,0.059761296,0.530192713,14.0,0.0,0.0,0.0,0.0,7.0
29.945524898316123,0.093428462,0.060629947,0.2321566,0.35105584,49.0,0.0,0.0,0.0,0.0,11.0
31.994336277780622,0.075763343,0.048822039,0.193564936,0.355598151,0.0,97.0,0.0,0.0,0.0,7.0
31.50454027119573,0.00037145,0.000129791,0.001158904,0.650585932,2.0,0.0,0.0,0.0,0.0,7.0
31.285115007054262,-0.107610299,-0.046820682,-0.871526038,0.564905196,2.0,0.0,0.0,0.0,0.0,7.0
28.135414094524,0.130382873,0.095952246,0.150714232,0.264075049,23.0,0.0,0.0,0.0,0.0,4.0
28.233991916155706,0.105795103,0.07263261,0.119700071,0.313460718,20.0,0.0,0.0,0.0,0.0,6.0
27.433059082061494,0.048425765,0.041442346,0.071413686,0.144208747,7.0,0.0,0.0,0.0,0.0,7.0
27.42263316333604,0.029545733,0.02507329,0.053997542,0.151373582,7.0,0.0,0.0,0.0,0.0,7.0
27.75921202351479,0.00637083,0.005881573,0.04096108,0.076793674,0.0,0.0,0.0,0.0,0.0,4.0
30.447704471758808,0.102425652,0.024255351,0.021794064,0.763188269,23.0,0.0,0.0,1.0,0.0,8.0
26.423468578663893,0.106652093,0.061793194,0.08066181,0.420609645,3.0,0.0,0.0,0.0,0.0,5.0
26.58980754555829,0.093133807,0.051299757,0.061933881,0.449182213,6.0,0.0,0.0,0.0,0.0,5.0
26.247239594979636,0.163630691,0.140459323,0.313868522,0.141606287,2.0,49.0,0.0,0.0,0.0,7.0
25.90715951889448,0.040967456,0.034778333,0.069520998,0.151077609,0.0,47.0,0.0,0.0,0.0,7.0
27.642850867682125,0.107144954,0.041580268,0.042833527,0.611929044,0.0,0.0,0.0,0.0,1.0,7.0
27.7706091301356,0.094684231,0.035528738,0.038956861,0.624762567,0.0,0.0,0.0,0.0,1.0,4.0
26.322335734135642,0.085176527,0.042254556,0.046506452,0.503921532,0.0,0.0,0.0,0.0,1.0,5.0
26.665821087789016,0.075334383,0.041760469,0.043205425,0.445665215,2.0,0.0,0.0,0.0,1.0,5.0
28.45574027070596,0.074801502,0.019821854,0.009277207,0.73500377,1.0,0.0,0.0,0.0,0.0,5.0
27.511592101391848,0.233982448,0.110638902,0.025656999,0.527148712,0.0,0.0,0.0,0.0,0.0,5.0
27.583555224522748,0.032279855,0.011955261,0.002536972,0.629637086,2.0,0.0,0.0,0.0,0.0,5.0
26.291316404382687,0.046048182,0.04362203,0.091969967,0.052688314,18.0,0.0,0.0,0.0,0.0,5.0
26.248838290848372,0.050732314,0.047387818,0.095776012,0.065922787,20.0,0.0,0.0,0.0,0.0,5.0
31.049783328770175,-0.061457582,-0.021489702,-0.177888487,0.65033277,1.0,0.0,0.0,0.0,1.0,7.0
30.778637216224375,-0.251017925,-0.104997745,-1.349915506,0.581710015,0.0,0.0,0.0,0.0,1.0,7.0
28.148570087255045,0.020268868,0.011359099,0.010989256,0.439581384,3.0,74.0,0.0,0.0,0.0,5.0
28.056314994782,0.021530825,0.013414422,0.012418756,0.376967922,1.0,71.0,0.0,0.0,0.0,5.0
25.72537824756822,0.16332658,0.132157402,0.101463325,0.19083602,0.0,56.0,0.0,0.0,0.0,5.0
25.69718182010601,0.109315629,0.087134518,0.068779844,0.202903638,0.0,56.0,0.0,0.0,0.0,5.0
31.990584837882757,0.21171679,0.10994912,0.154030965,0.480678317,39.0,0.0,0.0,0.0,0.0,9.0
32.253795435864994,0.158585252,0.074460089,0.119045936,0.530472803,38.0,0.0,0.0,0.0,0.0,9.0
29.53513111365275,0.009590686,0.00618146,0.063234051,0.355472538,4.0,0.0,0.0,1.0,0.0,7.0
30.687603868144336,0.07942457,0.019250522,0.011880063,0.757626513,16.0,0.0,0.0,0.0,0.0,6.0
30.4774061546196,0.066085131,0.020979019,0.012890122,0.682550188,18.0,0.0,0.0,0.0,0.0,6.0
27.05118833485928,0.164178481,0.072952871,0.016684987,0.555649009,2.0,24.0,0.0,1.0,0.0,7.0
26.890056697752602,0.148247556,0.081656924,0.020757346,0.449185363,1.0,24.0,0.0,1.0,0.0,7.0
23.72866185692584,0.016545645,0.016071638,0.039526171,0.028648455,0.0,23.0,0.0,0.0,0.0,5.0
27.318738926608535,0.172114459,0.097910083,0.152386135,0.431133887,0.0,0.0,0.0,1.0,0.0,5.0
30.01344274149735,0.020757328,0.006064051,0.057801935,0.707859774,27.0,0.0,0.0,0.0,0.0,6.0
31.967722140428876,0.136366861,0.033188978,0.025832323,0.756619916,10.0,86.0,0.0,0.0,0.0,5.0
26.797990985672353,0.142325444,0.1088284,0.116988794,0.235355278,6.0,0.0,0.0,1.0,0.0,5.0
26.612080081338245,0.042354673,0.036178945,0.104645569,0.145809013,7.0,0.0,0.0,1.0,0.0,4.0
29.520761437961152,0.241634358,0.097287255,0.101528415,0.597378223,2.0,0.0,0.0,0.0,0.0,9.0
29.64506643541707,0.112733322,0.043498092,0.042157405,0.614150532,1.0,0.0,0.0,0.0,0.0,3.0
27.96010901243895,0.082258914,0.020927575,0.07690165,0.745585378,7.0,0.0,0.0,1.0,0.0,5.0
29.727590141268976,0.134153658,0.028628689,0.187018679,0.786596545,3.0,0.0,0.0,0.0,0.0,7.0
29.652214974259163,0.155233443,0.037687765,0.177796252,0.757218778,2.0,0.0,0.0,0.0,0.0,7.0
28.204398914351504,0.092172058,0.078164295,0.117049847,0.151970692,48.0,0.0,0.0,0.0,1.0,8.0
27.205998500479854,0.170984437,0.117380866,0.065892434,0.313499706,15.0,0.0,0.0,1.0,0.0,5.0
30.20254114684967,0.007970812,0.00632697,0.169300791,0.206234286,3.0,0.0,1.0,1.0,1.0,3.0
30.21883026292066,0.019476273,0.015511932,0.157909319,0.203547208,2.0,0.0,1.0,1.0,1.0,4.0
28.884874917820202,0.051782322,0.023522855,0.132588589,0.545735797,6.0,16.0,0.0,1.0,0.0,5.0
29.048416778346787,0.062714008,0.027519412,0.2517425,0.561191946,0.0,16.0,0.0,1.0,0.0,5.0
26.865163447816705,0.139290354,0.096999186,0.101209434,0.303618785,17.0,0.0,1.0,0.0,0.0,7.0
26.947653954689883,0.074973687,0.047333827,0.061227736,0.368660802,17.0,0.0,1.0,0.0,0.0,7.0
27.277123739546564,0.02165352,0.016305591,0.018608592,0.246977336,48.0,0.0,0.0,0.0,1.0,4.0
27.181379957237507,0.005261845,0.004383473,0.005406371,0.1669324,47.0,0.0,0.0,0.0,1.0,5.0
30.458908537699998,0.082227955,0.047836804,0.32470797,0.418243375,19.0,0.0,0.0,0.0,1.0,5.0
30.4303126241277,0.100255272,0.063333536,0.32423339,0.368274813,27.0,0.0,0.0,0.0,1.0,5.0
30.11026174408992,0.025412812,0.017369638,0.028746108,0.316496539,21.0,0.0,0.0,0.0,0.0,9.0
29.956140396227173,0.117340822,0.07915535,0.277581088,0.325423596,47.0,0.0,1.0,0.0,1.0,5.0
27.626198505815577,0.007054122,0.004256003,0.007774035,0.396664352,63.0,0.0,0.0,1.0,0.0,3.0
25.434407352007828,0.042230397,0.041200646,0.04354351,0.024386565,1.0,0.0,0.0,0.0,0.0,5.0
26.960026740009738,0.058284203,0.017578183,0.017700968,0.698403756,9.0,0.0,0.0,0.0,0.0,5.0
26.656423075193118,0.028694868,0.011995535,0.013582929,0.581964997,10.0,0.0,0.0,0.0,1.0,3.0
28.725832858327944,0.096545673,0.041054734,0.034412574,0.574760257,5.0,70.0,0.0,0.0,0.0,5.0
28.670109843057485,0.00194659,0.000852959,0.00084625,0.561818979,5.0,70.0,0.0,0.0,0.0,5.0
26.55571999829478,0.211537027,0.161544242,0.103448311,0.236329182,6.0,0.0,0.0,0.0,0.0,7.0
26.71348460839803,0.180236394,0.153307993,0.103995942,0.149405221,6.0,0.0,0.0,0.0,0.0,6.0
29.073130906154624,0.124142451,0.043219351,0.073072172,0.651856791,28.0,0.0,0.0,0.0,0.0,5.0
29.18256081152417,0.122066967,0.041062532,0.076396835,0.663604402,31.0,0.0,0.0,0.0,0.0,4.0
29.213932284781908,0.235060676,0.124080171,0.351470374,0.472135565,4.0,0.0,0.0,0.0,0.0,5.0
29.39720462419558,0.193172336,0.103151925,0.768924775,0.466012595,1.0,0.0,0.0,0.0,0.0,5.0
26.37506706132942,0.084839106,0.027905039,0.020932895,0.671082569,4.0,0.0,1.0,0.0,1.0,4.0
27.697183318182216,0.002290425,0.000737389,0.001493696,0.678055972,0.0,0.0,0.0,1.0,0.0,5.0
27.70607292823927,4.30939e-05,1.37372e-05,3.07287e-05,0.681224372,0.0,0.0,0.0,1.0,0.0,5.0
28.512173669750744,0.147712347,0.047386149,0.097539655,0.679199397,1.0,0.0,0.0,0.0,1.0,4.0
27.03530187114393,0.184299548,0.121842824,0.075804712,0.338887014,27.0,0.0,0.0,1.0,0.0,5.0
27.182071095880627,0.186884304,0.122274775,0.103024078,0.345719398,25.0,0.0,0.0,1.0,0.0,5.0
28.381006936984175,0.153430808,0.083127772,0.409024245,0.458209139,17.0,49.0,0.0,0.0,0.0,6.0
28.435333929798645,0.119811447,0.06385091,0.238311281,0.467071709,11.0,49.0,0.0,0.0,0.0,6.0
27.382836641370854,0.312530173,0.189182226,0.063927014,0.394674039,23.0,51.0,0.0,0.0,0.0,5.0
27.31651172067967,0.004163055,0.001044739,0.001883127,0.749046425,0.0,0.0,0.0,1.0,0.0,5.0
25.126507132581466,0.092404989,0.079655414,0.071825437,0.137974967,1.0,0.0,0.0,0.0,0.0,5.0
26.31520012980923,0.051684431,0.027912837,0.042426766,0.459937224,0.0,0.0,0.0,0.0,0.0,6.0
26.126037808939497,0.029348788,0.00842082,0.004442319,0.713081195,1.0,0.0,0.0,1.0,0.0,4.0
26.21374369879906,0.02605959,0.006955215,0.00424551,0.733101459,1.0,0.0,0.0,1.0,0.0,4.0
28.555668830743084,0.396076781,0.146699299,0.093607166,0.62961626,2.0,0.0,0.0,0.0,0.0,4.0
28.573451218212146,0.36402965,0.175295864,0.101976991,0.51845718,8.0,0.0,0.0,0.0,0.0,6.0
31.798904202485446,0.164951863,0.087049115,0.147207732,0.472275645,40.0,0.0,0.0,1.0,0.0,5.0
27.87124201571035,0.070263133,0.037685791,0.045989801,0.463650091,7.0,0.0,0.0,1.0,0.0,7.0
27.142936608325897,0.050419684,0.016490364,0.013393215,0.672937972,3.0,0.0,0.0,1.0,0.0,5.0
29.263915755610032,0.074596383,0.030176393,0.135568779,0.595471089,34.0,0.0,0.0,1.0,0.0,7.0
29.36624197919606,0.160433884,0.061181656,1.049385181,0.618647027,12.0,0.0,0.0,0.0,0.0,5.0
27.13478685194251,0.195639838,0.092999289,0.050673684,0.524640328,21.0,51.0,0.0,0.0,1.0,5.0
27.080225565085268,0.262289877,0.140719237,0.070096494,0.463497262,1.0,36.0,0.0,0.0,1.0,5.0
25.95780172905803,0.153594507,0.145897674,0.261538394,0.05011086,8.0,0.0,0.0,0.0,0.0,5.0
26.318426929538596,0.277081866,0.253848342,0.401829986,0.083852548,8.0,0.0,0.0,0.0,0.0,5.0
29.725600007637297,0.019296887,0.007059146,0.003870868,0.634182137,43.0,0.0,0.0,0.0,0.0,5.0
29.718475469118243,0.015689989,0.005869494,0.003887205,0.625907078,38.0,0.0,0.0,0.0,0.0,4.0
29.890113985846458,0.192855047,0.092663039,0.254969091,0.448059408,49.0,0.0,0.0,0.0,0.0,9.0
30.020187493435714,0.162464738,0.092372804,0.395612898,0.431427681,49.0,0.0,0.0,0.0,0.0,9.0
26.943084337616483,0.35200536,0.143485333,0.408031062,0.59237742,7.0,0.0,0.0,1.0,0.0,5.0
